step,AAPL,MSFT,JPM,GS,BA,CAT,MMM,HON,IBM,NVDA,KO,MCD,MRK,MS,NKE,PG,TRV,UNH,V,VZ,WMT,CVX,XOM,AMGN,AXP,CRM,CSCO,DIS,HD,JNJ,CASH
0,0.035122438088582675,0.013866881179986693,0.050701592913778834,0.05789055170857508,0.02842788850753048,0.03531465945500102,0.022264906529064734,0.022959997445791348,0.03518919608434202,0.02413842006346207,0.022330930005835956,0.035108081514442877,0.04079503663383539,0.018046844329121223,0.0479236353465818,0.018169261309783722,0.06581964078405526,0.02154608415775794,0.06364477582054656,0.02263799641471891,0.02476804562588886,0.02388159391160263,0.05303198452954797,0.05418280611103415,0.021697143149807186,0.027653275216830083,0.03773719653952003,0.02018976893594489,0.034825654921709005,0.020133712634594025,1.3072659838252813e-10
1,0.033469933673767924,0.013990808585260757,0.052385927489944056,0.055298637665447535,0.029736350155404184,0.03418146675529651,0.02245150981500652,0.022920033655062226,0.03495901957285107,0.024666959385047958,0.022057310398785033,0.035778432913545107,0.04127162973445369,0.01784384530953331,0.049953433451501134,0.01763316834650896,0.06542549737101049,0.021782740958211196,0.06466887192356173,0.023395109534936565,0.023977032075949815,0.023741763200467246,0.04899770257456721,0.05449711951901608,0.022597495769688072,0.029098597221505974,0.038045591643791996,0.020361486162306937,0.035170951199009655,0.019641573809409407,1.2915170260091166e-10
2,0.03581089722695492,0.013620455010929747,0.05024203357173469,0.055953203794697946,0.028238654699551984,0.035291232035205324,0.022544997207397426,0.02221611279879348,0.03457959812633847,0.023760371654272843,0.02167208375688527,0.035342357424543724,0.040379844129354976,0.017634221955878205,0.0493754790150107,0.017910276348028078,0.06606657464315908,0.020835491341146917,0.06510538242898571,0.022307723053271913,0.025240404402200423,0.023904309924230618,0.05530777908713532,0.05355615278712081,0.021868990721079767,0.028323921546897668,0.038710910089230076,0.019966237930567707,0.03494247587323583,0.019291827285687655,1.30472764633126e-10
3,0.03520940387408062,0.013871334371666922,0.051221353098948715,0.055276988115384194,0.028435391684542167,0.035907597166999636,0.02251942757120905,0.02242399891008681,0.03486468223091977,0.02320458553797051,0.022054089003588427,0.03527169246065893,0.040846027727891,0.017592110581767014,0.048334356492237676,0.018577457653370443,0.0676882374492424,0.021103450962075145,0.06375136507459579,0.022087072968626793,0.02482920460631306,0.023826056296240846,0.052641025496013016,0.05460005506798548,0.02216215704659565,0.027935895172332713,0.03920991834665759,0.01983096320604695,0.03522048762047622,0.019503614076667536,1.2880883719794015e-10
4,0.034139327614763494,0.01353036871347232,0.05100704489721441,0.05529229400952181,0.028420018079367882,0.03467703986867122,0.022663817550969412,0.02231816184516766,0.034890175478520566,0.0235856273636803,0.021940983685883333,0.035550286505853894,0.04118006192027245,0.017522356823686164,0.04912047217764081,0.017826503648251203,0.06615640538786108,0.021302377041611125,0.0662290698592678,0.022189814400295892,0.02443269033510892,0.023699292745913727,0.05447959069450907,0.054400410868486467,0.021758961972136743,0.027868757515806315,0.038562897922136116,0.019932356421793584,0.03542757980927646,0.019895254713705818,1.2915398044085592e-10
5,0.034920071942232817,0.013517226486860922,0.051599243791136236,0.056603856387818376,0.02903767259299451,0.034849189258073114,0.022744119222403582,0.022606495422038905,0.0342005206309959,0.023933391285870406,0.022158615433584182,0.03597209426813475,0.04142833673927976,0.017448611256242474,0.04920281529455834,0.018096338832163186,0.06591482439570213,0.021653116850295098,0.06330591868975861,0.021864453593832354,0.024380244379751132,0.023262610666817205,0.05263710657708261,0.05450764821520191,0.022606902143604765,0.027814575289974577,0.038329173853979326,0.019970357843402863,0.03568806890533087,0.019745922909646104,4.768412329992029e-07
6,0.035543144112075604,0.013638045933347638,0.05170726730780489,0.055854280628991324,0.02826502038103231,0.03573162489047449,0.02232452428532422,0.02216396226582115,0.034829149615156686,0.023324162955140823,0.021567643852341844,0.03557701266497756,0.04051333993638959,0.01755759396810596,0.04850036965667014,0.018145885850573862,0.06691084595794514,0.02145406146608437,0.0641973140950769,0.021868414910804924,0.024834124067935236,0.02325758342257371,0.05337708714319111,0.054926913963171675,0.022419351171430027,0.027897979168797465,0.03917342750845383,0.019969344455283315,0.03493220214488519,0.019538321614913444,6.052255040416283e-10
7,0.03451078557667223,0.013819785893279507,0.05205712921596127,0.05701758245636029,0.02877704669229147,0.03494321523592984,0.022474365245421752,0.022758673265265688,0.034332840863547584,0.023687688524869747,0.021330504148981383,0.03624333314780021,0.041993717653347105,0.017922790458773458,0.048831889664446404,0.017822835050135395,0.06575324592777768,0.021539178656940914,0.06477314965374936,0.022240702393456924,0.024337546299254633,0.023339433197149963,0.05199059808826168,0.05436401268702814,0.022183593469446074,0.027775168216050933,0.03775646652862419,0.020067499203615197,0.03524314332694372,0.020111840276440345,2.389821769193222e-07
8,0.03474919587711304,0.01391250339111454,0.0510361891232643,0.05506582906639418,0.02830251365693863,0.0351582757656821,0.022834449060587646,0.02157697714622449,0.03469521030979563,0.022954404873869474,0.02254210320039693,0.03565968940919832,0.04129930988517709,0.017703093000936056,0.04790874412439301,0.018092069272892874,0.06764482053969921,0.02154919112585682,0.0661666556518919,0.021779334366899092,0.024830114468279617,0.02368162122868122,0.0521364243843401,0.05479107666484478,0.022431299051754137,0.028362458435611738,0.039282680404809305,0.020336218188643583,0.03498878614319436,0.018528401603085626,3.605784301457648e-07
9,0.03494497140610263,0.013655431559789169,0.05295184436428225,0.057558642437911436,0.028389168445539886,0.03567596365887773,0.02227106049493076,0.02264248235206882,0.03477606700928398,0.02262368234585203,0.021450039545489217,0.035779201451191164,0.04114571896962717,0.017763165392021812,0.047924154870539,0.01796214240291204,0.06604098923289319,0.02182238871431297,0.0641947732832047,0.02175163278457241,0.02496763696574355,0.02320888728286393,0.053495888667418265,0.05399521761679131,0.022029314381417798,0.027983979270413413,0.038827769782240715,0.019818128479756746,0.03476816394651853,0.019581492399496057,4.859375182101002e-10
